feature_id,Hindustan-Times,The-Hindu,Times-of-India,newspaper
C-ADD,690.0,200.0,540.0,0.0
C-DEL,1405.0,447.0,720.0,0.0
CLAUSE-TYPE-CHG,3408.0,1500.0,2728.0,0.0
CONST-ADD,114.0,91.0,124.0,0.0
CONST-MOV,13099.0,5705.0,11485.0,0.0
CONST-REM,476.0,278.0,254.0,0.0
DEP-REL-CHG,11759.0,5284.0,9892.0,0.0
FEAT-CHG,126.0,122.0,160.0,0.0
FORM-CHG,61.0,158.0,89.0,0.0
FW-ADD,266.0,49.0,170.0,0.0
FW-DEL,3210.0,1661.0,2241.0,0.0
HEAD-CHG,280.0,198.0,282.0,0.0
LEMMA-CHG,17.0,26.0,22.0,0.0
LENGTH-CHG,1137.0,1117.0,1022.0,0.0
POS-CHG,84.0,83.0,89.0,0.0
TED-KLEIN,783.0,1124.0,806.0,0.0
TED-RTED,1142.0,1139.0,1035.0,0.0
TED-SIMPLE,1142.0,1058.0,1034.0,0.0
TED-ZHANG-SHASHA,783.0,1124.0,806.0,0.0
TOKEN-REORDER,3.0,6.0,12.0,0.0
VERB-FORM-CHG,13.0,11.0,14.0,0.0
feature_id,0.0,0.0,0.0,3.0
