feature_id,canonical_to_headline_ce,headline_to_canonical_ce,bidirectional_sum,jensen_shannon_divergence,register_overlap_ratio,total_events,information_asymmetry
LEMMA-CHG,33.219280957592495,33.219280957592495,66.43856191518499,28.941667520773382,0.0,22,0.0
FW-DEL,33.219280948873624,33.21928095084982,66.43856189972345,32.24388425343828,0.0,2241,1.9761969838327786e-09
FW-ADD,33.21928095083058,33.21928094887363,66.43856189970421,32.20773396585781,0.0,170,1.9569483811210375e-09
CONST-REM,33.219280948873624,33.219280950730735,66.43856189960437,32.18946684889752,0.0,254,1.8571100213193859e-09
CONST-ADD,33.21928095024591,33.219280948873624,66.43856189911953,32.21195126023069,0.0,124,1.3722853964281967e-09
C-ADD,33.219280950075834,33.219280948873624,66.43856189894946,32.59537169591798,0.0,540,1.2022098871966591e-09
C-DEL,33.219280948873624,33.21928095002,66.43856189889362,32.45202927276116,0.0,720,1.1463754390206304e-09
FORM-CHG,30.49240540216221,31.376064728043517,61.86847013020572,24.83557700199468,0.027586206896551724,89,0.8836593258813075
FEAT-CHG,6.652463020447058,7.029962613472214,13.682425633919273,3.2088707681301467,0.6296296296296297,160,0.37749959302515546
TED-RTED,4.974379776527466,4.974379776527466,9.948759553054932,1.7763568394002505e-15,1.0,1035,0.0
DEP-REL-CHG,4.835400183156771,4.7691722485290775,9.604572431685849,0.4311957312553072,0.851063829787234,9892,0.06622793462769305
TED-ZHANG-SHASHA,4.713277078335496,4.713277078335496,9.426554156670992,-2.6645352591003757e-15,1.0,806,0.0
LENGTH-CHG,4.866924533966888,4.4905462219549905,9.357470755921877,0.9725853554789705,0.7407407407407407,1022,0.3763783120118971
TED-KLEIN,4.44721262300018,4.44721262300018,8.89442524600036,-1.7763568394002505e-15,1.0,806,0.0
VERB-FORM-CHG,6.080487211602749,1.862396373179024,7.942883584781773,2.4373541722762555,0.75,14,4.218090838423725
HEAD-CHG,3.917067660008487,3.773705410922488,7.690773070930975,0.4972544160649577,0.8823529411764706,282,0.1433622490859987
CLAUSE-TYPE-CHG,2.2407154777044425,2.2824491795131383,4.523164657217581,0.5573948039070259,0.6666666666666666,2728,0.041733701808695844
POS-CHG,1.6140999027401213,1.511696160503721,3.1257960632438424,0.1354347205757528,1.0,89,0.10240374223640036
TOKEN-REORDER,0.9182958340544896,0.9182958340544896,1.8365916681089791,0.0,1.0,12,0.0
CONST-MOV,0.34546396915406186,0.34546396915406186,0.6909279383081237,0.0,1.0,11485,0.0
TED-SIMPLE,0.3208960876655251,0.3208960876655251,0.6417921753310502,0.0,1.0,1034,0.0
