rule_id,pos_pattern,dep_pattern,position_pattern,feature_id,transformation,confidence,frequency,conditions
SYN_0000,PROPN,root,initial,CONST-MOV,CONST-FRONT,1.0,1018,{}
SYN_0001,PROPN,nsubj,initial,CONST-MOV,CONST-FRONT,1.0,508,{}
SYN_0002,NOUN,root,initial,CONST-MOV,CONST-FRONT,1.0,461,{}
SYN_0003,NOUN,nsubj,initial,CONST-MOV,CONST-FRONT,1.0,415,{}
SYN_0004,PROPN,compound,initial,CONST-MOV,CONST-FRONT,1.0,382,{}
SYN_0005,NOUN,compound,initial,CONST-MOV,CONST-FRONT,1.0,378,{}
SYN_0006,ADJ,amod,initial,CONST-MOV,CONST-FRONT,1.0,262,{}
SYN_0007,VERB,root,initial,CONST-MOV,CONST-FRONT,1.0,197,{}
SYN_0008,PROPN,root,initial,TED-SIMPLE,10,1.0,143,{}
SYN_0009,VERB,root,medial,CONST-MOV,CONST-FRONT,1.0,133,{}
SYN_0010,ADJ,amod,medial,CONST-MOV,CONST-FRONT,1.0,130,{}
SYN_0011,PROPN,compound,initial,CONST-MOV,CONST-FRONT,1.0,117,{}
SYN_0012,NOUN,compound,medial,CONST-MOV,CONST-FRONT,1.0,113,{}
SYN_0013,NOUN,root,medial,CONST-MOV,CONST-FRONT,1.0,109,{}
SYN_0014,ADJ,amod,initial,CONST-MOV,CONST-FRONT,1.0,80,{}
SYN_0015,PROPN,nsubj,initial,TED-SIMPLE,10,1.0,74,{}
SYN_0016,NOUN,nsubj,VERB,CONST-MOV,CONST-FRONT,1.0,72,{}
SYN_0017,PROPN,root,initial,CONST-MOV,CONST-POST,1.0,63,{}
SYN_0018,PROPN,root,initial,CLAUSE-TYPE-CHG,Fin,1.0,63,{}
SYN_0019,PROPN,compound,initial,TED-SIMPLE,10,1.0,62,{}
SYN_0020,PROPN,nsubj,medial,CONST-MOV,CONST-FRONT,1.0,61,{}
SYN_0021,NOUN,compound,initial,TED-SIMPLE,10,1.0,58,{}
SYN_0022,NOUN,nsubj,initial,TED-SIMPLE,10,1.0,58,{}
SYN_0023,NOUN,root,initial,TED-SIMPLE,10,1.0,56,{}
