feature_id,feature_name,total_instances,unique_transformations,most_common_transformation,most_common_count,consistency_ratio,top_5_transformations
CONST-MOV,Constituent Movement,80395,2,CONST-FRONT→CONST-FRONT,75201,0.9353939921636918,"[('CONST-FRONT→CONST-FRONT', 75201), ('CONST-POST→CONST-POST', 5194)]"
DEP-REL-CHG,Dependency Relation Change,69244,821,compound→det,1904,0.027496967246259604,"[('compound→det', 1904), ('root→nsubj', 1484), ('root→aux', 1232), ('obl→case', 1169), ('compound→case', 1071)]"
CLAUSE-TYPE-CHG,Clause Type Change,19096,7,Fin→Part,6902,0.3614369501466276,"[('Fin→Part', 6902), ('Part→Fin', 4417), ('Inf→Fin', 3549), ('Fin→Inf', 2541), ('Ger→Fin', 812)]"
FW-DEL,Function Word Deletion,15687,6,ABSENT→ART-DEL,6440,0.4105310129406515,"[('ABSENT→ART-DEL', 6440), ('ABSENT→AUX-DEL', 5908), ('ABSENT→ADP-DEL', 1169), ('ABSENT→PRON-PERS-DEL', 777), ('ABSENT→SCONJ-DEL', 707)]"
LENGTH-CHG,Sentence Length Change,7154,140,10→13,273,0.03816046966731898,"[('10→13', 273), ('12→16', 273), ('11→15', 259), ('11→14', 245), ('13→17', 203)]"
C-DEL,Content Word Deletion,5040,4,ABSENT→NOUN-DEL,2380,0.4722222222222222,"[('ABSENT→NOUN-DEL', 2380), ('ABSENT→VERB-DEL', 1848), ('ABSENT→ADJ-DEL', 742), ('ABSENT→ADV-DEL', 70)]"
C-ADD,Content Word Addition,3780,4,NOUN-ADD→ABSENT,2653,0.7018518518518518,"[('NOUN-ADD→ABSENT', 2653), ('VERB-ADD→ABSENT', 651), ('ADJ-ADD→ABSENT', 406), ('ADV-ADD→ABSENT', 70)]"
HEAD-CHG,Dependency Head Change,1974,56,2→3,406,0.20567375886524822,"[('2→3', 406), ('3→4', 294), ('4→5', 168), ('5→6', 147), ('9→10', 98)]"
CONST-REM,Constituent Removal,1778,6,ABSENT→SBAR-REM,910,0.5118110236220472,"[('ABSENT→SBAR-REM', 910), ('ABSENT→VP-REM', 280), ('ABSENT→PP-REM', 238), ('ABSENT→ADJP-REM', 175), ('ABSENT→ADVP-REM', 91)]"
FW-ADD,Function Word Addition,1190,6,ADP-ADD→ABSENT,553,0.4647058823529412,"[('ADP-ADD→ABSENT', 553), ('PRON-PERS-ADD→ABSENT', 245), ('AUX-ADD→ABSENT', 238), ('CCONJ-ADD→ABSENT', 77), ('ART-ADD→ABSENT', 42)]"
FEAT-CHG,Morphological Feature Change,903,19,Tense=Pres→Tense=Past,322,0.35658914728682173,"[('Tense=Pres→Tense=Past', 322), ('Number=Sing→Number=None', 91), ('Number=Sing→Number=Plur', 70), ('Person=None→Person=3', 56), ('Mood=None→Mood=Ind', 56)]"
CONST-ADD,Constituent Addition,868,5,ADJP-ADD→ABSENT,308,0.3548387096774194,"[('ADJP-ADD→ABSENT', 308), ('SBAR-ADD→ABSENT', 280), ('ADVP-ADD→ABSENT', 154), ('PP-ADD→ABSENT', 98), ('QP-ADD→ABSENT', 28)]"
POS-CHG,Part of Speech Change,623,6,NOUN→VERB,287,0.4606741573033708,"[('NOUN→VERB', 287), ('VERB→NOUN', 147), ('ADJ→NOUN', 63), ('NOUN→ADJ', 56), ('VERB→ADJ', 56)]"
FORM-CHG,Surface Form Change,623,77,says→said,28,0.0449438202247191,"[('says→said', 28), ('’→‘', 21), ('passengers→Passengers', 14), ('loot→looted', 14), ('try→tried', 14)]"
LEMMA-CHG,Lemma Change,154,20,Unite→United,14,0.09090909090909091,"[('Unite→United', 14), ('mumbaikar→Mumbaikars', 14), ('Shareef→shareef', 7), ('Waale→waale', 7), ('tcs→TCS', 7)]"
VERB-FORM-CHG,Verb Form Change,98,6,Fin→Part,49,0.5,"[('Fin→Part', 49), ('Part→Fin', 14), ('Inf→Fin', 14), ('Part→Ger', 7), ('Fin→Ger', 7)]"
TOKEN-REORDER,Token Reordering,84,2,FRONT→FRONT,56,0.6666666666666666,"[('FRONT→FRONT', 56), ('POST→POST', 28)]"
