MT_Metric,Perplexity_Measure,Pearson_r,Pearson_p,Spearman_r,Spearman_p,N,Pearson_Significant,Spearman_Significant
ROUGE-1,Entropy,-0.9234136499007373,0.008573596100300744,-0.942857142857143,0.004804664723032055,6,True,True
ROUGE-1,Perplexity,-0.9172845724600565,0.009979799988517134,-0.942857142857143,0.004804664723032055,6,True,True
ROUGE-2,Normalized_PP,-0.8965190364470491,0.015508411617783584,-0.8857142857142858,0.01884548104956266,6,True,True
ROUGE-L,Perplexity,-0.774966319270415,0.07026236568077805,-0.7714285714285715,0.07239650145772594,6,False,False
ROUGE-L,Entropy,-0.7692882501904401,0.07370171494982494,-0.7714285714285715,0.07239650145772594,6,False,False
chrF,Perplexity,0.7662162200968715,0.07559357423553568,0.6,0.20799999999999982,6,False,False
chrF,Entropy,0.7405303399573817,0.09225242357862475,0.6,0.20799999999999982,6,False,False
METEOR,Normalized_PP,-0.7072514835167546,0.11600801897958873,-0.5428571428571429,0.26570262390670557,6,False,False
METEOR,Entropy,-0.6923666689014714,0.12740045703272732,-0.6571428571428573,0.15617492711370237,6,False,False
METEOR,Perplexity,-0.6642141621084595,0.15019790934962626,-0.6571428571428573,0.15617492711370237,6,False,False
BLEU-4,Normalized_PP,-0.465255248909853,0.3524722713803592,-0.5428571428571429,0.26570262390670557,6,False,False
ROUGE-2,Entropy,-0.4649366065019211,0.35284684466137584,-0.3714285714285715,0.46847813411078715,6,False,False
ROUGE-2,Perplexity,-0.4534790993221386,0.36640881878079345,-0.3714285714285715,0.46847813411078715,6,False,False
chrF,Normalized_PP,0.44853360638874207,0.3723181232402672,0.4285714285714286,0.3965014577259474,6,False,False
BLEU-2,Normalized_PP,-0.44394286053180476,0.3778330070073323,-0.5428571428571429,0.26570262390670557,6,False,False
BLEU-1,Entropy,-0.43756188240006305,0.38554506311779385,-0.6,0.20799999999999982,6,False,False
ROUGE-L,Normalized_PP,0.3970053878814859,0.43577857846297785,0.4285714285714286,0.3965014577259474,6,False,False
BLEU-1,Perplexity,-0.3905374649652638,0.44397609424968215,-0.6,0.20799999999999982,6,False,False
BLEU-1,Normalized_PP,-0.19017833794565883,0.7181716591483658,-0.2571428571428572,0.6227871720116618,6,False,False
BLEU-2,Entropy,-0.16232633545020275,0.7586491332416478,-0.2571428571428572,0.6227871720116618,6,False,False
BLEU-2,Perplexity,-0.14887865173113654,0.7783319591141538,-0.2571428571428572,0.6227871720116618,6,False,False
ROUGE-1,Normalized_PP,0.10630378378433353,0.8411449669826676,-0.08571428571428573,0.8717434402332361,6,False,False
BLEU-4,Perplexity,-0.059310119686641044,0.9111391377863135,-0.2571428571428572,0.6227871720116618,6,False,False
BLEU-4,Entropy,-0.04833073838796327,0.9275603393439409,-0.2571428571428572,0.6227871720116618,6,False,False
