Metric1,Metric2,Pearson_r,Pearson_p,N
BLEU-1,BLEU-2,0.8320010055631124,0.0399647197689732,6
BLEU-1,BLEU-4,0.6563060861197745,0.15688875083902892,6
BLEU-1,METEOR,0.7157358822352239,0.10972399722302331,6
BLEU-1,ROUGE-1,0.6194137274490388,0.18970568362822085,6
BLEU-1,ROUGE-2,0.4711323293177699,0.3455891079983346,6
BLEU-1,ROUGE-L,0.5717718595066061,0.23580491351262448,6
BLEU-1,chrF,0.09383123544291436,0.8596662060436737,6
BLEU-2,BLEU-4,0.9617349661889748,0.002168305142448788,6
BLEU-2,METEOR,0.7081865544834328,0.11530793080830713,6
BLEU-2,ROUGE-1,0.2820793748362682,0.5881032927176211,6
BLEU-2,ROUGE-2,0.6695769487556139,0.14573139514053177,6
BLEU-2,ROUGE-L,0.22613581384294806,0.6665782787315846,6
BLEU-2,chrF,0.10333484616521796,0.8455494401682371,6
BLEU-4,METEOR,0.6166425450293962,0.19227473842500153,6
BLEU-4,ROUGE-1,0.13709586631284393,0.7956445778920302,6
BLEU-4,ROUGE-2,0.6694178941156171,0.14586303827219943,6
BLEU-4,ROUGE-L,0.09611852812017324,0.8562662163763497,6
BLEU-4,chrF,0.0715241162450323,0.8928967735647447,6
METEOR,ROUGE-1,0.5963710132027221,0.21149565601999143,6
METEOR,ROUGE-2,0.919327338287137,0.00949960552027908,6
METEOR,ROUGE-L,0.35528887889436345,0.4894907725521676,6
METEOR,chrF,-0.5385199662308285,0.2703064565670804,6
ROUGE-1,ROUGE-2,0.2807284687879299,0.5899691878208982,6
ROUGE-1,ROUGE-L,0.944340686911699,0.004560723561520219,6
ROUGE-1,chrF,-0.47447307956434337,0.34169818626756027,6
ROUGE-2,ROUGE-L,0.014947358959680496,0.9775806313564045,6
ROUGE-2,chrF,-0.5595843521522309,0.24823609610919065,6
ROUGE-L,chrF,-0.2352183447275887,0.6536795243504265,6
