Newspaper,Event_Type,Count,Perplexity,Normalized_PP,Entropy,Num_Patterns
Times-of-India,C-ADD,540,2.3748205578820536,1.2413884488474034,1.247818507113491,4
Times-of-India,C-DEL,720,2.89688688641532,1.3046165526837958,1.5345033533713093,4
Times-of-India,CLAUSE-TYPE-CHG,2728,4.922482970700202,1.2556929627098536,2.299386215140772,7
Times-of-India,CONST-ADD,124,4.040851625323235,1.3221921695631094,2.014659378658145,5
Times-of-India,CONST-MOV,11485,1.270559527401856,1.1271909897625407,0.34546396915406186,2
Times-of-India,CONST-REM,254,4.168788562800401,1.268630002698249,2.059628201809326,6
Times-of-India,DEP-REL-CHG,9892,319.6096326420272,1.00704921231799,8.320167079753576,821
Times-of-India,FEAT-CHG,129,10.314107919569192,1.130676872646272,3.3665471409620618,19
Times-of-India,FORM-CHG,89,72.2595676419485,1.0571618886783023,6.175116717458952,77
Times-of-India,FW-ADD,170,4.064545302009564,1.2632869061309537,2.023093967988581,6
Times-of-India,FW-DEL,2241,3.865870720495218,1.252779258518483,1.9507933928468775,6
Times-of-India,HEAD-CHG,282,22.63715252780241,1.0572878619509316,4.500620591379707,56
Times-of-India,LEMMA-CHG,22,19.395007609912444,1.15980372087937,4.277613436819114,20
Times-of-India,LENGTH-CHG,1022,78.09973514923375,1.031618033720494,6.287245750814989,140
Times-of-India,POS-CHG,89,4.254254098617709,1.2729281898114198,2.0889062053408223,6
Times-of-India,TED-KLEIN,806,21.814456473123013,1.0920683983042743,4.447212623000182,35
Times-of-India,TED-RTED,1035,31.436741399468815,1.0761191819647653,4.974379776527464,47
Times-of-India,TED-SIMPLE,1034,1.2491061536168087,1.0224920377283966,0.3208960876655251,10
Times-of-India,TED-ZHANG-SHASHA,806,26.23238504933556,1.0851029507241752,4.713277078335499,40
Times-of-India,TOKEN-REORDER,12,1.88988157484231,1.3747296369986026,0.9182958340544896,2
Times-of-India,VERB-FORM-CHG,14,4.3408066873396915,1.2772083257423035,2.1179631753145163,6
Hindustan-Times,C-ADD,690,2.15415609644268,1.2114884905571681,1.1071227955665444,4
Hindustan-Times,C-DEL,1405,2.7832366397590156,1.2916282442997835,1.4767635764715237,4
Hindustan-Times,CLAUSE-TYPE-CHG,3408,4.703495536157617,1.24755616066266,2.23373333515068,7
Hindustan-Times,CONST-ADD,114,4.572303504316034,1.3552736984363873,2.192921171189934,5
Hindustan-Times,CONST-MOV,13099,1.380447461819221,1.1749244494090763,0.4651359817215547,2
Hindustan-Times,CONST-REM,476,3.369956354447901,1.2244396353966418,1.7527299066506576,6
Hindustan-Times,DEP-REL-CHG,11759,335.790217985032,1.0068907954984614,8.391416393039425,847
Hindustan-Times,FEAT-CHG,108,9.20724312115116,1.1394978406573422,3.2027692420016294,17
Hindustan-Times,FORM-CHG,61,49.994304592406806,1.076601806904353,5.643691845688671,53
Hindustan-Times,FW-ADD,266,3.8185929474896123,1.2502126656983128,1.9330411404535297,6
Hindustan-Times,FW-DEL,3210,4.549842034795245,1.2872593444108156,2.1858164574929555,6
Hindustan-Times,HEAD-CHG,280,19.92150180234583,1.0529363157268241,4.316254505402162,58
Hindustan-Times,LEMMA-CHG,17,14.441700501700932,1.1948348710980947,3.8521687236032816,15
Hindustan-Times,LENGTH-CHG,1137,60.540746265327165,1.0376585871121975,5.91983455377679,111
Hindustan-Times,POS-CHG,84,3.651505880029851,1.2409244285133476,1.868491553750231,6
Hindustan-Times,TED,1142,1.0896948249787302,1.0123466959594611,0.12392415689699109,7
Hindustan-Times,TOKEN-REORDER,3,1.88988157484231,1.3747296369986026,0.9182958340544896,2
Hindustan-Times,VERB-FORM-CHG,13,5.539172576785736,1.2770456254493563,2.469670487371862,7
The-Hindu,C-ADD,200,2.0894375159018277,1.2022847737520403,1.063114615876669,4
The-Hindu,C-DEL,447,2.8262851475476034,1.2965939596748497,1.4989070283752401,4
The-Hindu,CLAUSE-TYPE-CHG,1500,5.243726619125978,1.267084914116031,2.3905924728380477,7
The-Hindu,CONST-ADD,91,4.500891080452714,1.3510135371314298,2.170210652572378,5
The-Hindu,CONST-MOV,5705,1.2879172984937266,1.1348644405803394,0.3650399561205119,2
The-Hindu,CONST-REM,278,3.7402185784773323,1.2073756869173262,1.9031225837147336,7
The-Hindu,DEP-REL-CHG,5284,210.30332850134255,1.0092005447671297,7.716327873769187,584
The-Hindu,FEAT-CHG,95,10.922432749480281,1.1510060609914274,3.449222317878009,17
The-Hindu,FORM-CHG,158,12.129689725441722,1.0557520899568384,3.600470742024133,46
The-Hindu,FW-ADD,49,3.0486125539609352,1.2497422341332125,1.6081528108930874,5
The-Hindu,FW-DEL,1661,3.1187227303629923,1.2087304445969402,1.6409552957991322,6
The-Hindu,HEAD-CHG,198,17.89817616152331,1.0747815917052363,4.161740678087284,40
The-Hindu,LEMMA-CHG,26,23.370125303084063,1.1403221055899413,4.546593564294937,24
The-Hindu,LENGTH-CHG,1117,54.579397047145285,1.043945263821841,5.770284551758517,93
The-Hindu,POS-CHG,83,3.7361361305673557,1.301620974830142,1.9015470223164328,5
The-Hindu,TED,1058,3.0667347415803325,1.1185814715991154,1.616703385530116,10
The-Hindu,TOKEN-REORDER,6,1.88988157484231,1.3747296369986026,0.9182958340544896,2
The-Hindu,VERB-FORM-CHG,11,4.013570290623979,1.3204020035763218,2.004886164091843,5
